,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
0,-0.639371931553,-0.421387404203,-0.621433734894,0.0362566970289,-0.0928354933858,-0.142600744963,-1.65821051598,0.826943337917,1.70920681953,0.370735824108,-1.43076264858,0.109679475427,1.66069066525,0.700345516205,1.70304405689,-0.531584203243,1.49474847317,0.99845314,0.99998033,0.99990535,0.9995883,0.99999976,0.9981425,0.99987125,0.99999976,0.99990976,0.9990439,0.9999981,0.99998546,0.99447787,0.99999356,0.99995196,0.9972263,0.99998856,0.999959,0.99948585,0.9999844,0.9998845,0.99891734,0.9999931,0.9968802,0.99979836,0.999984,0.9999795,0.9999182,0.99998844,0.99882156,0.9989999,0.9999989,0.99997425,0.9973482,0.99998105,0.999897,0.99445087,0.9999887,0.9999957,0.9997627,0.9999993,0.9997764,0.9987968,0.9999989,0.999997,0.9996063,0.9999782,0.9985814
1,-0.641158342361,-0.430222243071,-0.625229179859,0.0380991250277,-0.0842162743211,-0.137197583914,-1.65492796898,0.832809627056,1.7103010416,0.370796620846,-1.44020009041,0.106758095324,1.65226781368,0.707113683224,1.70140826702,-0.538545787334,1.50607037544,0.998898,0.99998546,0.9999354,0.99971133,0.99999976,0.99869174,0.99991035,0.99999976,0.9999355,0.9993299,0.99999833,0.99998915,0.9959245,0.99999464,0.99996877,0.9982369,0.99999,0.99996686,0.9996755,0.99998665,0.99991274,0.9992472,0.9999949,0.9980081,0.99986076,0.9999877,0.99998677,0.99994886,0.9999902,0.9991621,0.99938667,0.99999905,0.9999782,0.9980599,0.9999838,0.9999343,0.99596775,0.99999046,0.9999969,0.9998387,0.9999994,0.99985576,0.99913377,0.99999917,0.999998,0.9997249,0.99998367,0.99905246
2,-0.643004179001,-0.438289701939,-0.628258049488,0.0395522415638,-0.0765025019646,-0.132272079587,-1.6523463726,0.840065956116,1.71259117126,0.368923902512,-1.44900453091,0.104483671486,1.64448690414,0.715029656887,1.69980442524,-0.545424342155,1.51707279682,0.99923015,0.9999894,0.9999571,0.9998011,0.9999999,0.99910647,0.9999385,0.9999999,0.99995553,0.9995388,0.9999987,0.99999225,0.99704677,0.9999956,0.99998033,0.9989103,0.9999912,0.99997306,0.99979895,0.99998844,0.9999347,0.99948585,0.9999963,0.99876773,0.9999057,0.9999906,0.99999166,0.99996865,0.99999166,0.9994067,0.9996327,0.99999917,0.99998164,0.9985989,0.9999862,0.99995923,0.9971156,0.999992,0.99999785,0.99989223,0.9999995,0.99991035,0.9993876,0.9999994,0.9999987,0.99981207,0.99998796,0.99938345
3,-0.644228935242,-0.445988059044,-0.628915786743,0.0407801605761,-0.0701961442828,-0.129007935524,-1.6483348608,0.847103595734,1.7142457962,0.368318676949,-1.45736479759,0.103456802666,1.63652646542,0.722984492779,1.69774889946,-0.553743124008,1.52674126625,0.9994585,0.99999213,0.99997103,0.999861,0.9999999,0.99938977,0.9999578,0.9999999,0.99996936,0.9996791,0.9999988,0.9999944,0.9978454,0.9999963,0.9999875,0.9993255,0.99999225,0.9999783,0.9998752,0.9999901,0.9999516,0.9996451,0.99999726,0.99923325,0.9999356,0.99999285,0.99999475,0.9999807,0.9999931,0.9995846,0.99977773,0.9999993,0.9999845,0.99897516,0.9999883,0.99997437,0.99792624,0.9999933,0.99999857,0.9999281,0.99999964,0.99994445,0.9995623,0.9999995,0.99999917,0.9998715,0.99999106,0.9995987
4,-0.645746588707,-0.453039258718,-0.629976093769,0.0419533289969,-0.0645217001438,-0.126131281257,-1.64358365536,0.853893339634,1.714448452,0.367219686508,-1.4664182663,0.102529026568,1.62820458412,0.731450557709,1.69659721851,-0.562861800194,1.53688192368,0.9996276,0.9999944,0.9999809,0.9999043,0.9999999,0.9995858,0.9999716,0.9999999,0.9999794,0.9997813,0.99999905,0.99999595,0.9984475,0.9999969,0.99999225,0.99959093,0.9999932,0.9999825,0.99992454,0.99999154,0.99996436,0.99975973,0.999998,0.99953306,0.9999571,0.99999464,0.9999968,0.99998844,0.99999416,0.99971,0.9998679,0.9999994,0.999987,0.9992599,0.9999902,0.9999844,0.9985251,0.9999945,0.99999905,0.99995303,0.99999976,0.99996614,0.99969065,0.99999964,0.9999994,0.9999138,0.99999344,0.99974316
5,-0.647137641907,-0.459622114897,-0.631253778934,0.0430640801787,-0.0592340826988,-0.123264431953,-1.63694429398,0.859164774418,1.71411907673,0.366577327251,-1.47574806213,0.101336680353,1.61902689934,0.73879545927,1.69646728039,-0.570556282997,1.54669415951,0.9997427,0.99999595,0.99998724,0.9999336,1.0,0.9997137,0.9999809,0.9999999,0.99998593,0.9998497,0.9999993,0.99999714,0.99886584,0.9999975,0.99999523,0.999749,0.9999939,0.99998605,0.99995434,0.99999285,0.99997365,0.99983656,0.99999857,0.9997125,0.9999714,0.99999595,0.999998,0.9999931,0.9999951,0.999798,0.9999201,0.9999995,0.99998903,0.99946123,0.9999919,0.99999046,0.99894124,0.9999956,0.9999993,0.99996924,0.99999976,0.99997914,0.99977976,0.99999976,0.99999964,0.99994195,0.99999523,0.9998344
6,-0.64799040556,-0.466604441404,-0.631864786148,0.0442427098751,-0.0539276897907,-0.120183341205,-1.62673652172,0.862537264824,1.71464943886,0.366413295269,-1.48543953896,0.099365606904,1.60805058479,0.744194149971,1.69686353207,-0.574029862881,1.55572259426,0.9998173,0.999997,0.9999913,0.9999528,1.0,0.9997999,0.9999869,1.0,0.9999902,0.9998934,0.9999994,0.999998,0.99914765,0.99999785,0.999997,0.99984205,0.99999475,0.99998915,0.99997187,0.9999939,0.99998045,0.99988663,0.9999989,0.999819,0.99998045,0.9999969,0.9999987,0.9999957,0.99999607,0.99986136,0.99994993,0.9999995,0.9999908,0.99959964,0.9999933,0.99999416,0.9992269,0.9999964,0.9999995,0.9999794,0.9999999,0.999987,0.9998406,0.99999976,0.99999976,0.99995995,0.9999964,0.99989235
7,-0.64887958765,-0.472008317709,-0.632405459881,0.0454067997634,-0.0487784817815,-0.117446295917,-1.6155577898,0.865928828716,1.71484303474,0.366217136383,-1.49456644058,0.0975834205747,1.59636044502,0.749560892582,1.69702589512,-0.577521085739,1.56473517418,0.9998697,0.99999785,0.9999939,0.9999664,1.0,0.9998599,0.99999106,1.0,0.9999932,0.9999242,0.9999995,0.99999857,0.9993585,0.99999833,0.9999981,0.99990034,0.99999547,0.99999154,0.9999826,0.9999949,0.99998546,0.9999211,0.9999993,0.9998851,0.99998665,0.9999976,0.99999917,0.9999974,0.9999968,0.99990475,0.9999684,0.99999964,0.9999924,0.9997018,0.9999945,0.9999963,0.9994342,0.999997,0.99999964,0.9999862,0.9999999,0.9999919,0.9998845,0.9999999,0.99999976,0.9999722,0.9999974,0.99992967
8,-0.649503409863,-0.47486692667,-0.632544517517,0.0455474741757,-0.043157313019,-0.114708334208,-1.60429644585,0.868286252022,1.71359467506,0.366169095039,-1.50155329704,0.0960317924619,1.58432686329,0.754823982716,1.69711220264,-0.581370472908,1.57293784618,0.9999063,0.99999833,0.9999956,0.9999763,1.0,0.99990153,0.9999938,1.0,0.9999951,0.99994564,0.99999964,0.9999989,0.9995096,0.99999857,0.9999987,0.99993587,0.9999962,0.99999344,0.9999889,0.9999957,0.99998915,0.99994576,0.9999994,0.9999261,0.9999908,0.9999982,0.9999994,0.99999833,0.9999974,0.99993455,0.99997973,0.99999964,0.9999937,0.9997757,0.99999547,0.99999774,0.9995864,0.9999976,0.99999976,0.9999908,0.9999999,0.9999949,0.99991775,0.9999999,0.9999999,0.9999807,0.999998,0.9999527
9,-0.649891316891,-0.476152986288,-0.631742179394,0.0444258004427,-0.0378729812801,-0.111835189164,-1.59319615364,0.869631767273,1.71251785755,0.366294324398,-1.50691914558,0.0946142077446,1.57257831097,0.759475052357,1.6980227232,-0.585976004601,1.5803643465,0.9999325,0.9999987,0.9999968,0.99998343,1.0,0.9999312,0.9999957,1.0,0.99999654,0.9999609,0.99999964,0.9999993,0.99962306,0.9999988,0.99999917,0.9999584,0.99999666,0.999995,0.99999297,0.9999963,0.9999919,0.99996316,0.99999964,0.99995255,0.9999938,0.9999987,0.99999964,0.9999989,0.99999785,0.9999553,0.9999869,0.99999964,0.99999475,0.9998311,0.9999963,0.99999857,0.99969864,0.9999981,0.9999999,0.9999939,0.9999999,0.9999968,0.99994206,0.9999999,0.9999999,0.9999865,0.99999845,0.99996793
