,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
0,-0.278663307428,-0.13773265481,0.157094478607,-0.0156945753843,-0.0726186260581,-0.85555356741,-0.551336050034,0.540291786194,1.44454181194,0.162987992167,-0.644075155258,0.326463490725,1.03922688961,0.716350197792,1.90458989143,-0.389854729176,0.321076840162,1.0,0.07274259,0.99831617,1.0,0.029861536,0.9994753,1.0,0.018776035,0.9981286,1.0,0.11200284,0.99986327,1.0,0.08158026,0.99988925,1.0,0.0118433,0.99977773,0.9999999,0.004747691,0.99896276,1.0,0.13185635,0.998594,1.0,0.1272475,0.9978263,0.99999976,0.01600205,0.9984818,1.0,0.06709441,0.9995289,0.9999995,0.06165403,0.99905795,0.99999976,0.11366654,0.998602,1.0,0.003518142,0.995551,1.0,0.06975327,0.9991534,1.0,0.13370536,0.9947072
1,-0.28034389019,-0.134352639318,0.153718575835,-0.0152443395928,-0.0705451071262,-0.834588885307,-0.554811060429,0.548826217651,1.45091068745,0.160605937243,-0.630864560604,0.324520528316,1.03185677528,0.715391457081,1.9020165205,-0.384245455265,0.309772849083,1.0,0.07138851,0.9983719,1.0,0.030052299,0.9995448,1.0,0.017792344,0.9982022,1.0,0.1130603,0.9998785,1.0,0.08006379,0.999894,1.0,0.012057561,0.99980515,0.99999976,0.0045700446,0.99897707,1.0,0.1322793,0.99871993,1.0,0.12907141,0.9980076,0.99999976,0.0155616,0.99849796,1.0,0.068095304,0.99959284,0.9999995,0.059752434,0.9990821,0.99999976,0.114893675,0.9987375,1.0,0.0033193424,0.99561405,1.0,0.07076768,0.9992662,0.9999999,0.13030457,0.9947582
2,-0.282007485628,-0.130926132202,0.150650545955,-0.0146960541606,-0.0685378760099,-0.813294291496,-0.558470547199,0.556802749634,1.45782148838,0.158353805542,-0.617799043655,0.322809517384,1.02401769161,0.714025259018,1.89936292171,-0.378840267658,0.299573361874,1.0,0.07020237,0.9984281,1.0,0.030175468,0.99960476,1.0,0.016853334,0.99827456,1.0,0.11376953,0.99989176,1.0,0.07855125,0.9998987,1.0,0.012260143,0.9998287,0.99999976,0.0044050603,0.99899095,1.0,0.13246186,0.9988324,1.0,0.13063091,0.998171,0.99999976,0.015133465,0.998517,1.0,0.068938926,0.99964607,0.9999995,0.05792768,0.9991059,0.99999964,0.1155398,0.9988545,1.0,0.0031339463,0.9956873,1.0,0.071662575,0.99936134,0.9999999,0.12717038,0.99482614
3,-0.283545106649,-0.127653896809,0.148271456361,-0.0138262733817,-0.0665828511119,-0.791782796383,-0.562419176102,0.563797354698,1.46596634388,0.156286522746,-0.604557275772,0.321727365255,1.01618278027,0.712100744247,1.89667069912,-0.373657941818,0.291361749172,1.0,0.06933058,0.99848205,1.0,0.030191548,0.9996551,1.0,0.015984003,0.99834347,1.0,0.114155896,0.99990296,1.0,0.07713896,0.99990284,1.0,0.012453775,0.99984837,0.99999976,0.0042600306,0.99900264,1.0,0.13239759,0.99893075,1.0,0.13188666,0.99831426,0.99999976,0.014742064,0.9985386,1.0,0.06958412,0.9996885,0.9999994,0.056279983,0.9991277,0.99999964,0.115355074,0.99895203,1.0,0.0029667318,0.99577004,1.0,0.072334975,0.99943894,0.9999999,0.12441927,0.9949157
4,-0.28525069356,-0.123480260372,0.14575061202,-0.012684344314,-0.064739741385,-0.770306408405,-0.565346896648,0.570965647697,1.47395706177,0.154098853469,-0.590925633907,0.320832401514,1.00799512863,0.709868967533,1.8937741518,-0.368659824133,0.282986015081,1.0,0.06862394,0.99853754,1.0,0.030270578,0.99969935,1.0,0.01519313,0.9984102,1.0,0.11464825,0.9999132,1.0,0.07590032,0.999907,1.0,0.0126461275,0.99986637,0.99999964,0.0041299476,0.9990165,1.0,0.13265038,0.99902403,1.0,0.13333447,0.9984493,0.99999964,0.014384383,0.9985655,1.0,0.0702998,0.9997265,0.9999994,0.054808356,0.99915063,0.99999964,0.11516969,0.9990439,1.0,0.0028141243,0.99586666,1.0,0.07306267,0.999508,0.9999999,0.12187236,0.9950176
5,-0.286629617214,-0.118936024606,0.143398493528,-0.0112455319613,-0.0628316700459,-0.749337494373,-0.567986607552,0.577151358128,1.48241782188,0.152078106999,-0.577294945717,0.321004778147,1.00077688694,0.706946313381,1.89097952843,-0.364003837109,0.274957686663,1.0,0.06817955,0.99859136,1.0,0.030440971,0.99973756,1.0,0.014490022,0.9984744,1.0,0.11552145,0.9999225,1.0,0.07482556,0.9999107,1.0,0.012859219,0.99988234,0.99999964,0.0040167416,0.9990313,1.0,0.133447,0.99911004,1.0,0.13537516,0.9985753,0.99999964,0.014059555,0.998591,1.0,0.071126215,0.9997608,0.9999993,0.053481687,0.9991726,0.99999964,0.1155322,0.99913055,1.0,0.0026769647,0.99596643,1.0,0.07399621,0.99956936,0.9999999,0.11966603,0.9951172
6,-0.28688326478,-0.115562975407,0.142344251275,-0.00950418971479,-0.0609885901213,-0.731098413467,-0.570204794407,0.581942796707,1.49066066742,0.150688543916,-0.563764512539,0.323520123959,0.992920398712,0.702595412731,1.88758170605,-0.360578238964,0.268120646477,1.0,0.06807151,0.9986343,1.0,0.030751111,0.9997689,1.0,0.013908021,0.9985275,1.0,0.11646939,0.99993014,1.0,0.073792346,0.9999132,1.0,0.013113173,0.9998951,0.99999964,0.0039428947,0.9990396,1.0,0.13473335,0.999185,1.0,0.1378064,0.99868494,0.9999995,0.013812664,0.9986072,1.0,0.07202429,0.99978834,0.9999993,0.052265935,0.9991855,0.99999964,0.1159267,0.9992034,1.0,0.0025661637,0.99604416,1.0,0.07541206,0.9996203,0.9999999,0.117896296,0.9951933
7,-0.286583006382,-0.111535400152,0.141152471304,-0.00789873674512,-0.0591360032558,-0.713369965553,-0.571596860886,0.586127340794,1.49856436253,0.149690821767,-0.551376342773,0.326889961958,0.983909249306,0.697670936584,1.88393759727,-0.358301460743,0.263131439686,1.0,0.0681421,0.99867153,1.0,0.031236963,0.99979585,1.0,0.013392571,0.9985751,1.0,0.11748908,0.9999368,1.0,0.0729853,0.99991524,1.0,0.013443884,0.9999062,0.9999995,0.0038844491,0.999046,1.0,0.13639735,0.99925226,1.0,0.14068799,0.9987851,0.9999995,0.013618395,0.9986193,1.0,0.07329983,0.9998124,0.99999917,0.051185183,0.99919647,0.9999995,0.11656427,0.9992692,1.0,0.002468808,0.9961123,1.0,0.07723722,0.9996649,0.99999976,0.11640504,0.995252
8,-0.285388946533,-0.109627656639,0.140614211559,-0.0060584237799,-0.0576034039259,-0.698556602001,-0.573544025421,0.588488101959,1.50596761703,0.149266391993,-0.540886580944,0.33238735795,0.972852349281,0.690967023373,1.87993955612,-0.357131719589,0.260141253471,1.0,0.068121046,0.99868804,1.0,0.031949516,0.99981946,1.0,0.012856755,0.9985897,1.0,0.11842041,0.9999422,1.0,0.07217106,0.99991536,1.0,0.0139230965,0.99991584,0.9999995,0.0038297137,0.9990305,1.0,0.13888986,0.99930835,1.0,0.14416459,0.9988726,0.9999994,0.013441513,0.99859685,1.0,0.07514798,0.99983275,0.99999905,0.050159022,0.9991893,0.9999995,0.116991825,0.9993249,1.0,0.002370299,0.9960967,1.0,0.07961739,0.99970335,0.99999976,0.11504052,0.9952247
9,-0.284642189741,-0.110270865262,0.141201376915,-0.00447485223413,-0.0559286288917,-0.684813916683,-0.576138615608,0.590591967106,1.51394891739,0.148828163743,-0.530157566071,0.33808350563,0.960261464119,0.684029877186,1.87573027611,-0.355565607548,0.258344471455,1.0,0.06824484,0.998703,1.0,0.03272237,0.9998404,1.0,0.012325468,0.9985979,1.0,0.11942251,0.99994683,1.0,0.07137584,0.99991536,1.0,0.014498509,0.9999244,0.9999994,0.0037893602,0.9990119,1.0,0.14195016,0.9993629,1.0,0.14816803,0.9989568,0.9999994,0.013314638,0.99857605,1.0,0.07732354,0.99985075,0.9999989,0.04920228,0.99918014,0.9999995,0.11745913,0.9993755,1.0,0.0022757268,0.9960789,1.0,0.08219134,0.99973744,0.99999976,0.114047326,0.9952049
10,-0.283633232117,-0.113118559122,0.142526969314,-0.00283978530206,-0.0544242933393,-0.672069191933,-0.57889944315,0.591596007347,1.52292370796,0.148567929864,-0.520526230335,0.344266027212,0.946421384811,0.676030039787,1.87166416645,-0.354109793901,0.258861929178,0.9999999,0.06830026,0.99871194,1.0,0.03354754,0.99985886,1.0,0.011761094,0.99859494,1.0,0.12032574,0.9999511,1.0,0.07050094,0.9999145,1.0,0.015184906,0.9999323,0.9999993,0.0037552693,0.99898833,1.0,0.14555958,0.99941325,1.0,0.15258609,0.9990343,0.9999993,0.013227464,0.9985505,1.0,0.079933524,0.9998665,0.9999988,0.048232686,0.99916506,0.9999994,0.117779,0.9994204,0.9999999,0.0021760697,0.99603504,1.0,0.0849547,0.99976724,0.99999964,0.11311164,0.9951658
11,-0.282699614763,-0.114526182413,0.143119081855,-0.000832893245388,-0.0532925538719,-0.659668266773,-0.58114606142,0.591578364372,1.5332647562,0.147651955485,-0.510301530361,0.350447267294,0.931976914406,0.666826725006,1.86741948128,-0.352196931839,0.257576107979,0.9999999,0.0684211,0.9987129,1.0,0.03449609,0.99987364,1.0,0.011234371,0.9985744,1.0,0.12043987,0.9999542,1.0,0.06951624,0.99991214,1.0,0.015859175,0.99993825,0.99999917,0.0037280256,0.9989465,1.0,0.14923194,0.9994543,1.0,0.15684913,0.99909985,0.99999917,0.013130049,0.9985012,1.0,0.082284614,0.9998784,0.9999987,0.04714774,0.99913615,0.9999994,0.11716454,0.9994542,0.9999999,0.0020809292,0.9959359,1.0,0.08790152,0.9997907,0.99999964,0.11283392,0.9951009
12,-0.282070428133,-0.11445594579,0.142123281956,0.0019643267151,-0.0530738979578,-0.646948516369,-0.583171904087,0.591315448284,1.54450070858,0.14620000124,-0.498578876257,0.357036501169,0.918850421906,0.657025158405,1.86347699165,-0.349466472864,0.255251854658,0.9999999,0.068690464,0.998703,1.0,0.03549693,0.9998859,1.0,0.010768001,0.99853563,1.0,0.12034463,0.9999567,1.0,0.06872789,0.999908,1.0,0.016557036,0.99994314,0.99999905,0.003703289,0.9988908,1.0,0.15268438,0.9994905,1.0,0.16156569,0.9991573,0.99999905,0.013048849,0.99843293,1.0,0.08482164,0.9998884,0.99999857,0.046137206,0.9990933,0.9999993,0.11676318,0.99948454,0.9999999,0.0019909942,0.9957948,1.0,0.09108658,0.9998115,0.9999995,0.11258092,0.9949955
13,-0.281336158514,-0.114542841911,0.141202360392,0.00478413375095,-0.0529655665159,-0.634566128254,-0.585602760315,0.590885698795,1.55562591553,0.144805565476,-0.486940264702,0.364008039236,0.90578764677,0.646883308887,1.85949218273,-0.346817016602,0.253017395735,0.9999999,0.06901392,0.9986873,1.0,0.036640808,0.9998965,1.0,0.010341707,0.99848855,1.0,0.120362535,0.999959,1.0,0.06800203,0.9999031,1.0,0.017342838,0.99994755,0.9999988,0.0036886167,0.9988274,1.0,0.15645216,0.99952316,1.0,0.16663212,0.9992091,0.9999988,0.012998503,0.9983557,1.0,0.08764665,0.9998971,0.99999833,0.045201235,0.99904376,0.99999917,0.116490334,0.9995117,0.9999999,0.0019107051,0.9956332,1.0,0.0946214,0.9998292,0.9999994,0.11244358,0.9948714
14,-0.280485242605,-0.114802412689,0.140369474888,0.00762843061239,-0.0529747121036,-0.622540533543,-0.588481068611,0.590278148651,1.56664574146,0.14347101748,-0.475405156612,0.371400207281,0.892807602882,0.636386394501,1.85546576977,-0.344255447388,0.250871896744,0.9999999,0.06939607,0.9986651,1.0,0.037949033,0.9999058,1.0,0.009953912,0.99843174,1.0,0.12050407,0.9999609,1.0,0.06734204,0.9998971,1.0,0.01823098,0.99995136,0.9999987,0.0036847286,0.9987552,1.0,0.16057128,0.9995528,1.0,0.17208783,0.9992557,0.9999987,0.012981318,0.9982681,1.0,0.09080095,0.99990475,0.9999982,0.044340894,0.9989864,0.99999917,0.11635625,0.9995359,0.9999999,0.0018396457,0.9954477,1.0,0.09855446,0.9998447,0.9999993,0.11243029,0.9947255
15,-0.279511779547,-0.115241371095,0.139624223113,0.0104993032292,-0.0531139746308,-0.610894799232,-0.591831743717,0.589474320412,1.57756197453,0.142198085785,-0.463988304138,0.379251033068,0.879922270775,0.625517249107,1.85140216351,-0.341782540083,0.248825073242,0.9999999,0.06984361,0.9986356,1.0,0.03944617,0.9999138,1.0,0.009603187,0.9983638,1.0,0.12077847,0.99996245,1.0,0.066750094,0.99988997,1.0,0.019238357,0.9999546,0.99999833,0.0036923883,0.9986725,1.0,0.16508275,0.9995795,1.0,0.17797491,0.9992976,0.99999845,0.012999458,0.99816835,1.0,0.09432709,0.9999113,0.999998,0.043557122,0.9989197,0.99999905,0.11637172,0.9995573,0.9999999,0.00177747,0.99523443,1.0,0.10294153,0.999858,0.99999917,0.112552695,0.9945551
16,-0.278487980366,-0.115970604122,0.138787612319,0.0133596807718,-0.0533511079848,-0.59963953495,-0.595621705055,0.588239967823,1.5883731842,0.140988722444,-0.452347964048,0.387685984373,0.866968631744,0.614237725735,1.84726119041,-0.339308083057,0.24705503881,0.9999999,0.07035991,0.99859756,1.0,0.041167606,0.9999207,1.0,0.009295173,0.998283,1.0,0.12125692,0.99996376,1.0,0.06624896,0.9998815,1.0,0.020394301,0.99995744,0.9999981,0.0037147012,0.9985759,1.0,0.17010225,0.99960345,1.0,0.18438132,0.99933475,0.9999981,0.013057247,0.9980532,1.0,0.09822581,0.9999169,0.9999976,0.042869203,0.99884194,0.9999989,0.116575226,0.9995763,0.99999976,0.0017259184,0.9949909,1.0,0.10792139,0.9998697,0.99999905,0.11280476,0.9943575
17,-0.277312219143,-0.117214009166,0.137502238154,0.0160933751613,-0.0537983365357,-0.589179515839,-0.599790871143,0.58585113287,1.5991230011,0.14004188776,-0.440844804049,0.397311836481,0.8532153368,0.602319777012,1.84296286106,-0.33701518178,0.246748253703,0.99999976,0.07099067,0.9985514,1.0,0.04311196,0.99992716,1.0,0.00904001,0.99819165,1.0,0.12223482,0.99996495,1.0,0.06589587,0.9998716,1.0,0.021750875,0.9999602,0.9999976,0.0037503578,0.9984665,0.9999999,0.17583087,0.9996251,1.0,0.19150846,0.99936825,0.99999785,0.013154044,0.9979231,1.0,0.10256535,0.99992216,0.99999726,0.042367026,0.9987534,0.9999987,0.11730728,0.99959403,0.99999976,0.0016854921,0.9947325,1.0,0.11360749,0.99988055,0.9999988,0.11310948,0.994134
18,-0.276030689478,-0.116987630725,0.136348843575,0.0188443176448,-0.0548619478941,-0.580560743809,-0.60105830431,0.582624197006,1.60963308811,0.139758244157,-0.431028097868,0.408257037401,0.837600290775,0.589682519436,1.83803200722,-0.335960239172,0.248919427395,0.99999976,0.07183928,0.9984987,1.0,0.04521129,0.99993277,1.0,0.0088250255,0.998089,1.0,0.123621106,0.9999659,1.0,0.065486565,0.99986005,1.0,0.023304923,0.99996245,0.99999714,0.00379873,0.9983419,0.9999999,0.18207201,0.99964404,0.9999999,0.19903937,0.9993999,0.9999974,0.013247026,0.9977725,1.0,0.107304126,0.9999268,0.9999969,0.04187409,0.9986539,0.99999857,0.11819529,0.9996099,0.99999964,0.001651996,0.9944522,1.0,0.11984297,0.9998902,0.99999857,0.113510236,0.99389726
19,-0.272980004549,-0.116032883525,0.136175408959,0.0194094199687,-0.0577424578369,-0.575916588306,-0.611456155777,0.575288772583,1.62235832214,0.140965506434,-0.418316394091,0.418326884508,0.829916357994,0.573665201664,1.83373522758,-0.336228460073,0.250252872705,0.99999976,0.07244206,0.99841475,1.0,0.047136202,0.99993706,1.0,0.008677939,0.99794286,1.0,0.12407339,0.9999664,1.0,0.0658666,0.9998448,1.0,0.024803655,0.9999639,0.99999666,0.0038953167,0.99817455,0.9999999,0.18757601,0.99965334,0.9999999,0.20492746,0.9994174,0.9999969,0.013418718,0.99759525,1.0,0.111031964,0.9999299,0.99999654,0.04185565,0.99853575,0.99999833,0.118300006,0.99961567,0.9999995,0.0016269765,0.99410605,1.0,0.12480966,0.9998987,0.99999833,0.11510438,0.99367934
20,-0.269487202168,-0.115082494915,0.136803179979,0.0195532273501,-0.0608657747507,-0.573227524757,-0.621426999569,0.56771337986,1.63466525078,0.14252358675,-0.407192438841,0.429893106222,0.822544455528,0.557426869869,1.82961416245,-0.337005257607,0.252588421106,0.99999964,0.07309347,0.99831474,1.0,0.049364407,0.99994063,1.0,0.008570395,0.99777156,1.0,0.1247691,0.99996674,1.0,0.0662366,0.9998267,1.0,0.026459975,0.99996495,0.99999595,0.0040002423,0.9979831,0.9999999,0.1939474,0.9996606,0.9999999,0.21156512,0.9994318,0.9999963,0.013613457,0.99738604,1.0,0.115031846,0.9999324,0.99999607,0.041826796,0.9983979,0.9999981,0.118810035,0.9996195,0.9999995,0.0016095012,0.9936952,1.0,0.13057695,0.9999057,0.999998,0.11683397,0.99340963
21,-0.265776962042,-0.114330261946,0.137549906969,0.0196538865566,-0.0641093328595,-0.571189045906,-0.631814599037,0.560021340847,1.64669275284,0.144185557961,-0.396655380726,0.442205578089,0.815746128559,0.541111767292,1.82553589344,-0.337881326675,0.255361646414,0.9999995,0.073803954,0.99819934,1.0,0.05188642,0.9999436,1.0,0.008495054,0.997575,1.0,0.12568171,0.99996674,1.0,0.0666571,0.9998054,1.0,0.028309975,0.99996567,0.9999951,0.0041192165,0.99776363,0.9999999,0.20082927,0.99966645,0.9999999,0.21860936,0.9994436,0.9999956,0.013842399,0.9971476,1.0,0.119407855,0.99993443,0.99999547,0.041861694,0.99823964,0.99999785,0.119568236,0.9996215,0.9999993,0.0016000905,0.9932335,1.0,0.13695455,0.9999119,0.9999975,0.11869357,0.993105
22,-0.261864989996,-0.11401014775,0.138330936432,0.0198226142675,-0.0674265772104,-0.569355249405,-0.642496883869,0.552545726299,1.65824115276,0.14587713778,-0.386855185032,0.454873919487,0.80999481678,0.525222420692,1.82149636745,-0.338721722364,0.258567541838,0.9999995,0.07456719,0.9980671,1.0,0.054711748,0.99994624,1.0,0.0084624225,0.9973526,1.0,0.12681702,0.9999666,1.0,0.06713459,0.9997801,1.0,0.03037109,0.99996614,0.99999416,0.004256472,0.9975114,0.9999999,0.20798202,0.9996704,0.9999999,0.22583543,0.99945194,0.99999475,0.0141161,0.9968755,1.0,0.124192834,0.99993587,0.9999949,0.041989733,0.9980574,0.9999976,0.1205016,0.99962115,0.99999917,0.0016023321,0.9927234,1.0,0.14389881,0.99991703,0.9999969,0.120633826,0.99276924
23,-0.257720261812,-0.113839462399,0.13959005475,0.0194989088923,-0.0707431063056,-0.568219304085,-0.652834236622,0.544667005539,1.66823935509,0.14742051065,-0.376256853342,0.466703087091,0.804655194283,0.509335935116,1.81725466251,-0.339102447033,0.259349167347,0.9999994,0.075076595,0.997905,0.9999999,0.0580201,0.9999484,1.0,0.008432803,0.9971047,1.0,0.12862615,0.99996626,1.0,0.06785276,0.9997509,1.0,0.032719515,0.9999664,0.99999297,0.00441107,0.9972191,0.9999999,0.21605285,0.9996743,0.9999999,0.2334232,0.9994562,0.9999937,0.014372727,0.9965655,1.0,0.12919128,0.9999372,0.9999943,0.04216708,0.99785453,0.99999726,0.121804506,0.99962044,0.9999989,0.0016155251,0.99213284,1.0,0.15175696,0.9999212,0.9999963,0.12243203,0.99239975
24,-0.253391206264,-0.113799311221,0.141103953123,0.0189487822354,-0.074116140604,-0.567576766014,-0.663225114346,0.536477684975,1.67745864391,0.148934066296,-0.365379750729,0.478359282017,0.799628376961,0.493355214596,1.81290709972,-0.339318066835,0.259061515331,0.9999993,0.07549816,0.9977139,0.9999999,0.061775357,0.9999502,1.0,0.008414566,0.99682295,1.0,0.13083704,0.9999659,0.9999999,0.068722956,0.99971634,1.0,0.035368808,0.9999665,0.99999154,0.0045842817,0.99688053,0.99999976,0.22486137,0.9996778,0.99999976,0.24142906,0.999458,0.9999924,0.014642382,0.99621224,1.0,0.13453552,0.99993813,0.99999344,0.042398795,0.997624,0.9999969,0.123361856,0.9996189,0.9999987,0.0016368157,0.99145824,1.0,0.16044551,0.9999248,0.9999956,0.12424503,0.9919904
25,-0.24891358614,-0.113832622766,0.142814680934,0.0184880197048,-0.0775751695037,-0.567329466343,-0.674119889736,0.528119266033,1.68662464619,0.150475874543,-0.354603886604,0.490476369858,0.795193016529,0.477255791426,1.80845868587,-0.339565753937,0.258866071701,0.99999905,0.075983845,0.9974935,0.9999999,0.06593991,0.99995184,1.0,0.008413964,0.99649674,1.0,0.13326141,0.9999653,0.9999999,0.06968203,0.99967504,1.0,0.038331766,0.9999664,0.99998975,0.004779051,0.9964886,0.99999976,0.23428656,0.9996805,0.99999976,0.24998224,0.99945813,0.9999908,0.014954945,0.99580884,1.0,0.1404018,0.99993885,0.9999926,0.042689364,0.9973572,0.9999964,0.12505268,0.999616,0.99999833,0.0016643568,0.9906957,1.0,0.16986606,0.99992776,0.99999464,0.12620911,0.9915336
26,-0.244293808937,-0.11391902715,0.144705280662,0.0180243737996,-0.0811040103436,-0.567445755005,-0.685487568378,0.519598782063,1.69573771954,0.1520601511,-0.343961924314,0.503091990948,0.791189610958,0.461056292057,1.80394423008,-0.339856177568,0.258783876896,0.9999989,0.07652519,0.9972395,0.9999999,0.07055523,0.99995303,1.0,0.008431044,0.9961189,0.9999999,0.1358924,0.9999646,0.9999999,0.070729904,0.9996253,1.0,0.04164385,0.99996614,0.9999877,0.0049967812,0.9960341,0.99999976,0.24432892,0.99968255,0.99999964,0.25904375,0.99945706,0.9999889,0.015310408,0.9953472,1.0,0.14680113,0.9999392,0.99999154,0.043030262,0.9970482,0.99999595,0.12690237,0.99961203,0.999998,0.0016979574,0.9898302,1.0,0.18006217,0.99993026,0.99999356,0.12831445,0.99102145
27,-0.239792183042,-0.113709680736,0.146872073412,0.0176734793931,-0.0848701298237,-0.568261921406,-0.697019457817,0.510581851006,1.70497012138,0.153689548373,-0.333434015512,0.516654074192,0.786878049374,0.444441646338,1.79932367802,-0.340794742107,0.258568406105,0.9999987,0.07732177,0.9969618,0.9999999,0.07557173,0.9999542,1.0,0.008485745,0.9956949,0.9999999,0.13854696,0.99996364,0.9999999,0.07196341,0.99956614,1.0,0.045270663,0.9999658,0.9999851,0.005254224,0.9955122,0.99999964,0.2549792,0.99968445,0.99999964,0.26857588,0.9994562,0.99998665,0.015718708,0.9948297,1.0,0.15354207,0.9999393,0.99999046,0.043478023,0.99669445,0.99999535,0.12887746,0.99960726,0.9999975,0.0017433272,0.98890835,1.0,0.1910972,0.9999325,0.99999225,0.13099235,0.9904969
28,-0.235168173909,-0.11359257251,0.149097532034,0.0173316057771,-0.0887263938785,-0.569385170937,-0.708862364292,0.501372933388,1.71400094032,0.155392304063,-0.32308909297,0.530645489693,0.782784342766,0.42781624198,1.79468870163,-0.341830402613,0.258441448212,0.99999833,0.07818383,0.9966439,0.9999999,0.081113085,0.9999552,0.9999999,0.008558946,0.9952049,0.9999999,0.14136122,0.99996245,0.9999999,0.073280014,0.9994949,1.0,0.04931894,0.9999653,0.9999821,0.005539232,0.9949063,0.99999964,0.26623386,0.99968576,0.9999995,0.27860045,0.99945384,0.9999839,0.016174395,0.9942397,1.0,0.16082352,0.9999392,0.99998915,0.043987054,0.99628407,0.99999464,0.13100614,0.9996012,0.9999968,0.0017954697,0.9878699,1.0,0.20299946,0.99993443,0.9999907,0.13385332,0.9899159
29,-0.23029987514,-0.113627627492,0.151307910681,0.0170225705951,-0.0927059277892,-0.570963025093,-0.721135020256,0.491920292377,1.72283136845,0.157132610679,-0.312826007605,0.545154392719,0.778893530369,0.411168247461,1.79005515575,-0.342964679003,0.258041381836,0.999998,0.07910323,0.99627763,0.9999999,0.08723801,0.9999559,0.9999999,0.008648547,0.9946345,0.9999999,0.14438735,0.99996114,0.99999976,0.07465979,0.99940836,1.0,0.053833067,0.9999647,0.9999784,0.0058555733,0.9941987,0.9999995,0.2781341,0.99968624,0.9999994,0.28913435,0.9994499,0.9999807,0.01668343,0.9935626,1.0,0.16866145,0.9999387,0.9999876,0.044546526,0.9958047,0.9999939,0.13331488,0.9995939,0.99999607,0.00185487,0.986691,1.0,0.2158226,0.999936,0.9999888,0.13687772,0.9892665
30,-0.225189596415,-0.113080769777,0.153803989291,0.0168186742812,-0.0965978130698,-0.57334959507,-0.733420014381,0.482478380203,1.73118579388,0.158882603049,-0.301901727915,0.560306787491,0.775043725967,0.394709587097,1.78528690338,-0.344264984131,0.257317364216,0.9999976,0.0801217,0.99586123,0.9999999,0.093992144,0.99995637,0.9999999,0.008757571,0.99398094,0.9999999,0.14762165,0.9999596,0.99999976,0.07612416,0.99930453,1.0,0.058832653,0.9999639,0.999974,0.0062049166,0.99338114,0.9999994,0.2906552,0.999686,0.9999994,0.30021214,0.99944526,0.99997675,0.017239595,0.9927912,1.0,0.17708987,0.999938,0.99998593,0.045160104,0.9952513,0.99999297,0.13583294,0.9995857,0.9999951,0.0019231801,0.9853625,1.0,0.22960043,0.9999373,0.9999865,0.14009754,0.9885467
31,-0.21999154985,-0.112663440406,0.15650805831,0.0166178457439,-0.100461654365,-0.576144874096,-0.746227145195,0.472967535257,1.73934745789,0.160669147968,-0.290919840336,0.575882077217,0.771790862083,0.378421068192,1.78053319454,-0.345519602299,0.256467461586,0.999997,0.08123425,0.9953844,0.9999999,0.10139178,0.9999567,0.9999999,0.008884161,0.99322647,0.9999999,0.15097484,0.9999578,0.99999976,0.077659465,0.9991788,1.0,0.06438517,0.9999629,0.99996877,0.006592625,0.99243414,0.9999994,0.3037649,0.99968517,0.99999917,0.3117945,0.99943894,0.999972,0.017854381,0.99191177,1.0,0.1861202,0.99993706,0.9999839,0.045840073,0.99460757,0.999992,0.13850276,0.99957615,0.9999939,0.0019999023,0.9838706,1.0,0.24435194,0.99993825,0.9999838,0.14353015,0.9877538
