,id,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
0,Happy_4,-0.20095158,0.0,-0.036815643,-0.010737896,-0.0061359406,-0.5215535,-1.2287185,0.58963096,1.5600585,0.14266014,-0.013848066,0.5230875,1.2271847,0.58963096,1.5600584,-0.14266014,0.013764143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Happy_4,-0.19941759,0.0,-0.036815643,-0.010737896,-0.0061359406,-0.5215535,-1.2287185,0.59050965,1.5600585,0.14266014,-0.0153820515,0.5215535,1.2287186,0.58963096,1.5600584,-0.14266014,0.013764143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9408867,0.9408867,0.9408867,0.9405941,1.0,0.9405941,0.9405941,1.0,0.9405941,0.9405941,0.9405941,0.9405941,0.9405941,0.9405941,0.9405941,0.8811882,1.0,0.8811882,0.8811882,1.0,0.8811882,0.88177335,0.88177335,0.88177335,0.82266,0.82266,0.82266,0.82266,1.0,0.82266,0.82266,1.0,0.82266,0.8217823,0.8217823,0.8217823
2,Happy_4,-0.19941759,0.0,-0.036815643,-0.012271881,-0.0061359406,-0.5215535,-1.2287185,0.58963096,1.5600585,0.14266014,-0.0153820515,0.5215535,1.2287186,0.58963096,1.5600584,-0.14266014,0.013764143,0.6980199,0.6980199,0.6980199,0.6995073,1.0,0.6995073,0.6995073,1.0,0.6995073,0.6995073,0.6995073,0.6995073,0.6995073,0.6995073,0.6995073,0.63861394,1.0,0.63861394,0.63861394,1.0,0.63861394,0.63861394,0.63861394,0.63861394,0.63861394,0.63861394,0.63861394,0.579208,1.0,0.579208,0.579208,1.0,0.579208,0.5812807,0.5812807,0.5812807,0.5812807,0.5812807,0.5812807,0.5812807,1.0,0.5812807,0.52216744,1.0,0.52216744,0.5198021,0.5198021,0.5198021
3,Happy_4,-0.19941759,0.0,-0.036815643,-0.010737896,-0.0046019554,-0.5215535,-1.2287185,0.59490335,1.5600585,0.14266014,-0.0153820515,0.5230875,1.2271847,0.59402466,1.5600584,-0.14266014,0.013764143,0.4603961,0.4603961,0.4603961,0.40394086,1.0,0.40394086,0.40394086,1.0,0.40394086,0.40394086,0.40394086,0.40394086,0.40394086,0.40394086,0.40394086,0.3415842,1.0,0.3415842,0.3415842,1.0,0.3415842,0.3415842,0.3415842,0.3415842,0.3415842,0.3415842,0.3415842,0.3415842,1.0,0.3415842,0.28217828,1.0,0.28217828,0.28571427,0.28571427,0.28571427,0.28571427,0.28571427,0.28571427,0.28571427,1.0,0.28571427,0.28571427,1.0,0.28571427,0.22277232,0.22277232,0.22277232
4,Happy_4,-0.20095158,0.0,-0.036815643,-0.010737896,-0.0061359406,-0.5215535,-1.2287185,0.59314585,1.5600585,0.14266014,-0.013848066,0.5246215,1.2287186,0.59138846,1.5600584,-0.14266014,0.013764143,0.16336638,0.16336638,0.16336638,0.16748768,1.0,0.16748768,0.16748768,1.0,0.10837438,0.10837438,0.10837438,0.10837438,0.10837438,0.10837438,0.10837438,0.103960425,1.0,0.103960425,0.103960425,1.0,0.103960425,0.103960425,0.04455447,0.04455447,0.04455447,0.04455447,0.04455447,0.04455447,1.0,0.04455447,0.04455447,1.0,0.04455447,0.049261086,0.049261086,0.049261086,0.049261086,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Happy_4,-0.2086215,0.0,-0.036815643,-0.010737896,-0.0061359406,-0.5230875,-1.2287185,0.5817224,1.5569905,0.14266014,-0.0153820515,0.5322914,1.2225827,0.5782074,1.5554564,-0.14266014,0.013764143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Happy_4,-0.22396111,0.0,-0.036815643,-0.010737896,-0.0061359406,-0.5246215,-1.2241166,0.5641476,1.5508546,0.14266014,-0.019984007,0.5445633,1.208777,0.5615114,1.5493205,-0.14266014,0.050580025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,Happy_4,-0.24697089,0.0015339851,-0.036815643,-0.010737896,-0.0076699257,-0.52768946,-1.2057087,0.54130054,1.5431848,0.14266014,-0.05373192,0.5614369,1.1903691,0.54130054,1.5385826,-0.14419413,0.09506607,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,Happy_4,-0.25924277,0.0,-0.036815643,-0.010737896,-0.009203911,-0.52922344,-1.1965048,0.5210897,1.5355148,0.14112616,-0.08441186,0.57524276,1.1688933,0.5210897,1.5309126,-0.14419413,0.14262009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,Happy_4,-0.27151465,0.0,-0.036815643,-0.010737896,-0.010737896,-0.5322914,-1.1873014,0.4991213,1.5263109,0.13959217,-0.11816001,0.5905826,1.1443497,0.5008787,1.5232432,-0.14572811,0.18710613,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Happy_4,-0.2883885,0.0,-0.03834963,-0.010737896,-0.016873837,-0.5353594,-1.1734955,0.47188056,1.512505,0.14112616,-0.16571403,0.6135924,1.1152041,0.47363794,1.5109713,-0.14572811,0.25613594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,Happy_4,-0.3037281,0.0,-0.03834963,-0.010737896,-0.021475792,-0.53996134,-1.1612236,0.4455185,1.4986993,0.14266014,-0.21173406,0.6350682,1.0921943,0.4481547,1.4940975,-0.14572811,0.323632,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
